"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","COLOR","CURRENT","DKPN","FREQUENCY","FUSE_TYPE","GAUGE","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX","VOLUME",
"1","3","BUZZER_3_PIN_CPT-3011C-120","LS100","200","","","","102-3762-ND","3kHz","","","CUI Devices","490-CPT-3011C-120 ","CPT-3011C-120","","","","","12V","","","85dB",
"6","16","CAPACITOR_0603_10V_0.1UF","C10, C11, C12, C16, C34, C38","167","0.1µF","","","720-1688-1-ND","","","","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","","",
"1","11","CAPACITOR_0603_10V_1UF","C39","1000","1µF","","","311-1796-1-ND","","","","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","","",
"1","11","CAPACITOR_0603_10V_4.7NF","C25","1000","4.7nF","","","732-7931-1-ND","","","","Würth Elektronik","710-885012206012","885012206012","","","","10%","10V","","","",
"1","11","CAPACITOR_0603_25V_0.1UF","C15","1000","0.1µF","","","1276-1006-1-ND","","","","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","10%","25V","","","",
"1","11","CAPACITOR_0603_25V_1.2NF","C17","1000","1.2nF","","","311-4079-2-ND","","","","YAGEO","603-CC603KRX7R8BB122 ","CC0603KRX7R8BB122","","","","10%","25V","","","",
"1","11","CAPACITOR_0603_25V_10UF","C33","1000","10µF","","","490-7202-1-ND","","","","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","20%","25V","","","",
"3","13","CAPACITOR_0805_50V_10UF","C8, C24, C40","333","10uF","","","490-18663-2-ND","","","","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","","10%","50V","","","",
"2","4","CONNECTOR-6_μF_S_RA_","J4, J6","100","","","","WM1833CT-ND","","","","Molex","538-43045-0611","0430450611","","","","","","","","",
"1","3","CONNECTOR-8_μF_S_RA_","J2","200","","","","WM1834CT-ND","","","","Molex","538-43045-0811","0430450811","","","","","","","","",
"1","3","CONNECTOR-CAN_μF_S_RA_","J3","200","","","","WM1832CT-ND","","","","Molex","538-43045-0411","0430450411","","","","","","","","",
"18","36","CRIMP_MICROFIT_20-24","O6, O7, O8, O9, O10, O11, O12, O13, O14, O15, O16, O17, O18, O19, O20, O21, O22, O23","100","","","","WM2776CT-ND","","","20-24","Molex","538-43030-0003","0430300003","","","","","","","","",
"1","3","FUSE_HOLDER_MINIBLADESMD","XF1","200","","","","36-3588-ND","","MINI 297","","Keystone Electronics","534-3588","3588","","","","","","","","",
"1","2","FUSE_MINI_BLADE_2","O4","100","","","2A","F986-ND","","MINI 297","","Littelfuse Inc.","576-0297002.WXNV","0297002.WXNV","","","","","","","","",
"1","11","JUMPER_0603_","JP1","1000","","","","13-RC0603FR-130RLTR-ND","","","","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","","",
"1","11","LED_0603_BLUE","5V","1000","","Blue","","754-1789-1-ND","","","","Kingbright","604-APT1608VBC/D","APT1608VBC/D","","","","","","","","",
"1","11","LED_0603_GREEN","3.3V","1000","","Green","","754-1790-1-ND","","","","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","",
"1","11","LED_0603_ORANGE","24V","1000","","Orange","","754-1120-1-ND","","","","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","","",
"1","11","LED_0603_RED","12V","1000","","Red","","754-1786-1-ND","","","","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","","",
"1","11","LED_0603_YELLOW","D1","1000","","Yellow","","754-1788-1-ND","","","","Kingbright","604-APT1608SYCK/J3-PRV","APT1608SYCK/J3-PRV","","","","","","","","",
"1","3","LED_7_SEGMENT_BLUE_DSM7TA","D101","200","","Blue","","DSM7TA56106TTR-ND","","","","Visual Communications Company","593-DSM7TA56106T ","DSM7TA56106T","","","","","","","","",
"1","3","MCP23S08","U3","200","","","","MCP23S08-E/SS-ND","","","","Microchip Technology","579-MCP23S08-E/SS","MCP23S08-E/SS","","","","","","","","",
"13","15","NEOPIXEL","U1, U2, U4, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15","15","","","","1830-1210-2-ND","","","","Inolux","743-I55QATPRPGPBPW40 ","IN-PI55QATPRPGPBPW-40","","","","","","","","",
"1","3","RE46C100","U5","200","","","","RE46C100S8TFTR-ND","","","","Microchip Technology","579-RE46C100S8TF "," RE46C100S8TF","","","","","","","","",
"1","2","RECEPTACLE-4_MICROFIT","O1","100","","","","WM11225-ND","","","","Molex","538-43025-0408","0430250408","","","","","","","","",
"1","2","RECEPTACLE-6_MICROFIT","O2","100","","","","WM13209-ND","","","","Molex","538-43025-0608","0430250608","","","","","","","","",
"1","2","RECEPTACLE-8_MICROFIT","O3","100","","","","WM13210-ND","","","","Molex","538-43025-0808","0430250808","","","","","","","","",
"1","11","RESISTOR_0603_1.5M","R13","1000","","","","311-1.50MHRCT-ND","","","","Yageo","603-RC0603FR-071M5L","RC0603FR-071M5L","0.1W","1.5M","","1%","","75V","75V","",
"1","11","RESISTOR_0603_10K","R11","1000","","","","311-10.0KHRCT-ND","","","","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","31.62V","75V","",
"1","11","RESISTOR_0603_150K","R9","1000","","","","P150KDBCT-ND","","","","Panasonic Electronic Components","667-ERA-3AEB154V","ERA-3AEB154V","0.1W","150k","","1%","","75V","75V","",
"4","14","RESISTOR_0603_1K","R1, R2, R6, R10","250","","","","1712-CPF-A-0603B1K0ETR-ND","","","","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","1k","","0.1%","","7.9V","50V","",
"1","11","RESISTOR_0603_3.3K","R83","1000","","","","P20340TR-ND","","","","Panasonic Electronic Components","667-ERJ-PB3D3301V","ERJ-PB3D3301V","0.2W","3.3k","","0.5%","","25.69V","150","",
