Comment,Designator,Footprint,LCSC Part #
CAPACITOR_0603_10V_0.1UF,C10 C11 C12 C16 C34 C38,0603-CAP,
CAPACITOR_0603_10V_1UF,C39,0603-CAP,
CAPACITOR_0603_10V_4.7NF,C25,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C15,0603-CAP,
CAPACITOR_0603_25V_1.2NF,C17,0603-CAP,
CAPACITOR_0603_25V_10UF,C33,0603-CAP,
CAPACITOR_0805_50V_10UF,C8 C24 C40,0805-CAP,
CONNECTOR-6_μF_S_RA_,J4 J6,MOLEX_MICROFIT_SMD_RIGHTANGLE_06_DUAL,
CONNECTOR-8_μF_S_RA_,J2,MOLEX_MICROFIT_SMD_RIGHTANGLE_08_DUAL,
CONNECTOR-CAN_μF_S_RA_,J3,MOLEX_MICROFIT_SMD_RIGHTANGLE_04_DUAL,
FUSE_HOLDER_MINIBLADESMD,XF1,3588,
JUMPER_0603_,JP1,0603-RES,
LED_0603_BLUE,5V,0603-LED,
LED_0603_GREEN,3.3V,0603-LED,
LED_0603_ORANGE,24V,0603-LED,
LED_0603_RED,12V,0603-LED,
LED_0603_YELLOW,D1,0603-LED,
MCP23S08,U3,SSOP-20,
RE46C100,U5,SOIC-08(NARROW 0.15"),
RESISTOR_0603_1.5M,R13,0603-RES,
RESISTOR_0603_1K,R1 R2 R6 R10,0603-RES,
RESISTOR_0603_3.3K,R83,0603-RES,
RESISTOR_0603_5.1K,R8 R12 R14,0603-RES,
RESISTOR_0603_10K,R11,0603-RES,
RESISTOR_0603_41.2K,R3 R4 R5,0603-RES,
RESISTOR_0603_60.4,R36 R60,0603-RES,
RESISTOR_0603_150K,R9,0603-RES,
RESISTOR_NETWORK_4_160,RN2 RN4,1206-RES-ARRAY,
TCAN1051HQV-Q1,U27,SOIC-08(NARROW 0.15"),
TEENSY_4.0SM,A2,TEENSY_SHORT_SSM,
TEST_POINT,TP2 TP3 TP4 TP_3.3V TP_5V TP_12V TP_24V TP_GND,5015,
TVS_30VDO-214AA,D3 D4 D5 D6,DO-214AA,
