"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","3","78613/3C_78613/3C_AIRGAP","T1","200","","811-3726-ND","Murata Power Solutions","580-786133C","78613/3C","","","","","","",
"1","3","BINDER-M12-A_4_PIN","J3","200","","","Binder","","BN86-0531-1120-00004","","","","","","",
"2","12","CAPACITOR_0603_10V_0.1UF","C18, C19","500","0.1µF","720-1688-1-ND","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","5%","10V","","",
"1","11","CAPACITOR_0603_10V_15PF","C20","1000","15pF","720-VJ0603A150FXQPW1BCCT-ND","Vishay Vitramon","77-VJ0603A150FXQPBC","VJ0603A150FXQPW1BC","","","1%","10V","","",
"5","15","CAPACITOR_0603_10V_1UF","C7, C13, C14, C16, C17","200","1µF","311-1796-1-ND","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","10%","10V","","",
"1","11","CAPACITOR_0603_16V_0.47UF","C6","1000","0.47µF","445-5192-1-ND","  TDK Corporation","810-C1608X7R1C474K","  C1608X7R1C474K080AC","","","10%","16V","","",
"1","11","CAPACITOR_0603_25V_0.1UF","C1","1000","0.1µF","1276-1006-1-ND","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","10%","25V","","",
"1","11","CAPACITOR_0603_25V_1UF","C3","1000","1µF","1276-1184-1-ND","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","10%","25V","","",
"3","13","CAPACITOR_0603_35V_0.1UF","C2, C4, C15","333","0.1µF","587-3354-1-ND","Taiyo Yuden","963-GMK107B7104KAHT","GMK107B7104KAHT","","","10%","35V","","",
"1","11","CAPACITOR_0603_35V_0.47UF","C22","1000","0.47µF","445-6928-6-ND","TDK Corporation","810-CGA3E1X7R1V474K","CGA3E1X7R1V474K080AC","","","10%","35V","","",
"2","12","CAPACITOR_0603_35V_1UF","C5, C21","500","1µF","445-173625-1-ND","TDK Corporation","810-C1608X7R1V105KAE","C1608X7R1V105K080AE","","","10%","35V","","",
"1","11","CAPACITOR_0603_50V_10NF","C11","1000","10nF","445-7404-1-ND","TDK Corporation","810-C1608C0G1H103J","C1608C0G1H103J080AA","","","5%","50V","","",
"2","12","CAPACITOR_0805_50V_10UF","C9, C10","500","10uF","490-18663-2-ND","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","10%","50V","","",
"1","3","CONNECTOR-2_MICROFIT_SMD_RIGHTANGLE_02_SINGLE_BLACK","J2","200","","WM14310CT-ND","Molex","538-43650-0214","0436500214","","","","","","",
"1","3","CONNECTOR-4_μF_S_RA_","J4","200","","WM1832CT-ND","Molex","538-0430450411","0430450411","","","","","","",
"1","3","CONNECTOR-8_AMPHENOL_M12A_08PMMP_","J1","200","","1754-1026-ND","Amphenol LTW","523-M12A08PMMPSF8001","M12A-08PMMP-SF8001","","","","","","",
"1","3","INA823DT","U3","200","","296-INA823DTCT-ND","Texas Instruments","595-INA823DT","INA823DT","","","","","","",
"4","14","JUMPER_0603_","JP1, JP2, JP3, JP4","250","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","",
"1","3","LTC6820","U10","200","","","Analog Devices","","LTC6820IMS#PBF","","","","","","",
"1","3","MCP3204","U11","200","","MCP3204-BI/SL-ND","Microchip Technology","579-MCP3204-BI/SL","MCP3204-BI/SL","","","","","","",
"2","4","OPAMP_2_CHANNEL_OPA_2991","U1, U4","100","","296-OPA2991IDDFRCT-ND","Texas Instruments","595-OPA2991IDDFR","OPA2991IDDFR","","","","","","",
"1","2","RECEPTACLE-2_MICROFIT","O3","100","","WM1845-ND","Molex","538-43645-0200","0436450200","","","","","","",
"2","4","RECEPTACLE-4_MICROFIT","O1, O2","100","","WM11225-ND","Molex","538-43025-0408","0430250408","","","","","","",
"1","11","RESISTOR_0603_1.13K","R13","1000","","P1.13KHCT-ND","Panasonic Electronic Components","667-ERJ-3EKF1131V","ERJ-3EKF1131V","0.1W","1.13k","1%","","75V","150V",
"1","11","RESISTOR_0603_1.24K","R18","1000","","311-1.24KHRCT-ND","Yageo","603-RC0603FR-071K24L","RC0603FR-071K24L","0.1W","1.24k","1%","","11.14V","75V",
"1","11","RESISTOR_0603_1.33K","R9","1000","","P1.33KDBCT-ND","Panasonic Electronic Components","667-ERA-3AEB1331V","ERA-3AEB1331V","0.1W","1.33k","0.1%","","11.53V","75V",
"2","12","RESISTOR_0603_1.5M","R5, R17","500","","311-1.50MHRCT-ND","Yageo","603-RC0603FR-071M5L","RC0603FR-071M5L","0.1W","1.5M","1%","","75V","75V",
"1","11","RESISTOR_0603_10K","R19","1000","","P10KBDCT-ND","Panasonic Electronic Components","667-ERA-3ARB103V","ERA-3ARB103V","0.1W","10k","0.1%","","31.62V","75V",
"1","11","RESISTOR_0603_120","R10","1000","","P120DBCT-ND","Panasonic Electronic Components","667-ERA-3AEB121V","ERA-3AEB121V","0.1W","120","0.1%","","3.46V","75V",
"3","13","RESISTOR_0603_12K","R7, R8, R11","333","","311-12.0KHRCT-ND","Yageo","603-RC0603FR-0712KL","RC0603FR-0712KL","0.1W","12k","1%","","34.64V","75V",
"1","11","RESISTOR_0603_1K","R1","1000","","1712-CPF-A-0603B1K0ETR-ND","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","1k","0.1%","","7.9V","50V",
"1","11","RESISTOR_0603_2.74K","R4","1000","","P20020CT-ND","Panasonic Electronic Components","667-ERJ-PB3B2741V","ERJ-PB3B2741V","0.2W","2.74k","0.1%","","23.41V","150V",
"1","11","RESISTOR_0603_20K","R14","1000","","311-20.0KHRTR-ND","Yageo","603-RC0603FR-0720KL ","RC0603FR-0720KL","0.1 W","20k","1%","","44.72V","75V",
"1","11","RESISTOR_0603_2K","R22","1000","","10-ERJ-UP3F2001VTR-ND","Panasonic Electronic Components","667-ERJ-UP3F2001V","ERJ-UP3F2001V","0.25W","2k","1%","","22.36V","150V",
"1","11","RESISTOR_0603_3.32K","R2","1000","","YAG1651TR-ND","Yageo","603-RT0603BRD073K32L","RT0603BRD073K32L","0.1W","3.32k","0.1%","","18.22V","75V",
