Comment,Designator,Footprint,LCSC Part #
CAPACITOR_0603_10V_0.1UF,C20 C21 C23 C25,0603-CAP,
CAPACITOR_0603_10V_1UF,C19 C22,0603-CAP,
CAPACITOR_0603_25V_0.1UF,C1 C9,0603-CAP,
CAPACITOR_0603_25V_1UF,C11 C13 C15 C16 C17 C18,0603-CAP,
CAPACITOR_0603_25V_4.7UF,C4 C6,0603-CAP,
CAPACITOR_0603_25V_10UF,C5 C24,0603-CAP,
CAPACITOR_0603_50V_0.1UF,C26,0603-CAP,
CAPACITOR_0603_50V_1UF,C27,0603-CAP,
CAPACITOR_0603_50V_10NF,C10 C12,0603-CAP,
CAPACITOR_0603_50V_47PF,C2,0603-CAP,
CAPACITOR_0603_100V_0.1UF,C8,0603-CAP,
CAPACITOR_0805_50V_10UF,C7,0805-CAP,
CAPACITOR_1206_630V_10NF,C3,1206-CAP,
ISO224B_AIRGAP,U3,SOIC-08(WIDE 0.295")-AIRGAP,
ISO224B_AIRGAP,U4,SOIC-08(WIDE 0.295")-AIRGAP,
LED_0603_BLUE,D3 D4,0603-LED,
LED_0603_GREEN,D6 LED_+12V,0603-LED,
LED_0603_ORANGE,D5,0603-LED,
LED_0603_YELLOW,D8,0603-LED,
LT8316,U2,TSSOP-20(16),
LTC6994-2,U10,SOT-23-6,
RECTIFIER_800V_SOD-123FA,D2,SOD-123FA,
RELAY_SOLIDSTATE_NO_AB38S-Q-AIRGAP,U5,SOP-04-AIRGAP,
RESISTOR_0603_,R15 R18,0603-RES,
RESISTOR_0603_0.02,R2,0603-RES,
RESISTOR_0603_1K,R1 R26 R29 R31,0603-RES,
RESISTOR_0603_2K,R25 R27,0603-RES,
RESISTOR_0603_3.3K,R30,0603-RES,
RESISTOR_0603_10,R4 R33,0603-RES,
RESISTOR_0603_10K,R3 R6 R7 R28,0603-RES,
RESISTOR_0603_20K,R12,0603-RES,
RESISTOR_0603_39,R24,0603-RES,
RESISTOR_0603_75K,R32,0603-RES,
RESISTOR_0603_93.1K,R5,0603-RES,
RESISTOR_0603_DNP,R20,0603-RES,
RESISTOR_0805_1M,R34,0805-RES,
RESISTOR_0805_523K,R35,0805-RES,
RESISTOR_0805_HV1M,R10 R19,0805-RES,
RESISTOR_0805_HV75K,R8 R14 R16 R17,0805-RES,
RESISTOR_0805_HV330K,R39,0805-RES,
RESISTOR_0805_HV365K,R9 R11 R21 R22 R37 R38,0805-RES,
RESISTOR_1206_HV46.4K,R40 R41,1206-RES,
TEST_POINT,+5V +24V EN/UVLO GND IP+ IP- IT+ IT- PACK+ PACK+FUSED PACK_DIV_OUT PRECHARGE_OK SHDN TS+10V TS+12V TS-FUSED TS-UNFUSED TS_DIV_OUT,5015,
TRANSISTOR_N_MOS_POWERFLAT5X6_STL2N80K5,Q1,POWERFLAT5X6,
TVS__8V,D7,SOT-23,
VOLTAGE_REGULATOR_SOT-223_10V,U1,SOT-223,
