"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","BATTERY_TYPE","CAPACITANCE","COLOR","CURRENT","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESET_VOLTAGE","RESISTANCE","TEENSY","TIMEOUT","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"4","6","ADC128S022","U6, U7, U23, U32","50","","","","","296-38561-1-ND","Texas Instruments","926-A128S022CIMTXNPB","ADC128S022CIMTX/NOPB","","","","","","","","","",
"1","3","ADIS16460","J2","200","","","","","SAM1129-07-ND","Samtec Inc.","","CLM-107-02","","","","","","","","","",
"1","3","ADM8316WBX30","U5","200","","","","","ADM8316WBX30ARJZR7TR-ND","Analog Devices Inc.","584-M8316WBX30ARJZR7","ADM8316WBX30ARJZR7","","3V","","","102ms","","","","",
"1","3","BATTERY_HOLDER_KEYSTONE_498","XB1","200","1/3N","","","","36-498-ND","Keystone Electronics","534-498","498","","","","","","","","","",
"1","3","BUTTON","S1","200","","","","","SW415-ND ","Omron","653-B3S-1000","B3S-1000","","","","","","","","","",
"54","64","CAPACITOR_0603_10V_0.1UF","C8, C9, C12, C13, C14, C15, C16, C17, C18, C19, C20, C23, C30, C32, C33, C34, C35, C37, C39, C41, C43, C45, C47, C49, C51, C53, C54, C55, C59, C61, C63, C65, C67, C69, C71, C73, C75, C77, C78, C79, C80, C81, C84, C85, C87, C89, C92, C93, C95, C99, C100, C101, C102, C103","19","","0.1µF","","","720-1688-1-ND","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","","","5%","10V","","",
"22","32","CAPACITOR_0603_10V_1UF","C10, C11, C21, C22, C24, C25, C31, C40, C42, C48, C50, C56, C57, C60, C62, C68, C70, C76, C82, C83, C86, C90","45","","1µF","","","311-1796-1-ND","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","","","10%","10V","","",
"3","13","CAPACITOR_0603_10V_4.7NF","C5, C6, C7","333","","4.7nF","","","732-7931-1-ND","Würth Elektronik","710-885012206012","885012206012","","","","","","10%","10V","","",
"27","37","CAPACITOR_0603_10V_680PF","C36, C38, C44, C46, C52, C58, C64, C66, C72, C74, C88, C91, C94, C96, C97, C98, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115","37","","680pF","","","732-7757-1-ND","Würth Elektronik","710-885012006013","885012006013","","","","","","5%","10V","","",
"1","11","CAPACITOR_0603_25V_0.1UF","C29","1000","","0.1µF","","","1276-1006-1-ND","Samsung Electro-Mechanics","187-CL10B104KA8NNNC","CL10B104KA8NNNC","","","","","","10%","25V","","",
"4","14","CAPACITOR_0603_25V_10UF","C2, C3, C4, C27","250","","10µF","","","490-7202-1-ND","Murata Electronics","81-GRM188R61E106MA3D","GRM188R61E106MA73D","","","","","","20%","25V","","",
"1","11","CAPACITOR_0603_25V_1UF","C28","1000","","1µF","","","1276-1184-1-ND","Samsung Electro-Mechanics","187-CL10B105KA8NNNC","CL10B105KA8NNNC","","","","","","10%","25V","","",
"1","11","CAPACITOR_0805_50V_10UF","C1","1000","","10uF","","","490-18663-2-ND","Murata","81-GRM21BR61H106KE3L"," GRM21BR61H106KE43L","","","","","","10%","50V","","",
"2","4","CONNECTOR-34__","J1, J3","100","","","","","SAM15557-ND","Samtec","200-EHT11701LD","EHT-117-01-L-D","","","","","","","","","",
"1","3","EEH-AZS1V471B","C26","200","","470µF","","","10-EEH-AZS1V471BCT-ND","Panasonic Electronic Components"," 667-EEH-AZS1V471B"," EEH-AZS1V471B","","","","","","20%","35V","","",
"4","14","JUMPER_0603_","JP1, JP2, JP8, JP9","250","","","","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","","","",
"5","7","JUMPER__1X02","JP3, JP4, JP5, JP6, JP7","40","","","","","S1011EC-02-ND","Sullins Connector Solutions","","PRPC002SAAN-RC","","","","","","","","","",
"1","2","LED_0603_GREEN","F","100","","","Green","","754-1790-1-ND","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","","",
"6","16","LED_0603_GREEN","B, BSPD, C, D, E, G","167","","","Green","","754-1790-1-ND","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","","",
"4","14","LED_0603_ORANGE","BMS, IMD, SWOK, WDOG","250","","","Orange","","754-1120-1-ND","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","","","",
"9","19","LED_0603_RED","B_HI, B_MIS, C_HI, C_MIS, ESP, GPS, LTE, MQTT, RTK","111","","","Red","","754-1786-1-ND","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","","","",
"1","11","LED_0603_WHITE","LATCH","1000","","","White","","SM0603UWC-ND","Bivar Inc.","749-SM0603UWC","SM0603UWC","","","","","","","","","",
"2","12","LED_0603_YELLOW","3V3, 5V0","500","","","Yellow","","754-1788-1-ND","Kingbright","604-APT1608SYCK/J3-PRV","APT1608SYCK/J3-PRV","","","","","","","","","",
"1","3","LOGICGATE_AND_DCK3","U42","200","","","","","296-SN74LVC1G08DCK3TR-ND","  Texas Instruments","595-SN74LVC1G08DCK3","SN74LVC1G08DCK3","","","","","","","","","",
"1","3","LOGICGATE_NOR","U44","200","","","","","296-11598-1-ND","Texas Instruments","595-SN74LVC1G02DCKR","SN74LVC1G02DCKR","","","","","","","","","",
"5","7","LOGICGATE_OR","U11, U12, U13, U28, U38","40","","","","","296-22348-2-ND","Texas Instruments","595-SN74LVC32IDCKREP","SN74LVC1G32IDCKREP","","","","","","","","","",
"11","13","MAX7400","U14, U15, U16, U17, U18, U19, U20, U21, U22, U24, U25","18","","","","","MAX7400CSA+-ND","Maxim Integrated","700-MAX7400CSA","MAX7400CSA+","","","","","","","","","",
"1","3","NRF9160LTE","A4","200","","","","","1568-WRL-17354-ND","SparkFun Electronics","474-WRL-17354","WRL-17354","","","","","","","","","",
"9","11","OPAMP_1_CHANNEL_OPA991","U8, U9, U10, U27, U34, U37, U39, U41, U43","22","","","","","296-OPA991IDCKRCT-ND","Texas Instruments","595-OPA991IDCKR","OPA991IDCKR","","","","","","","","","",
"5","7","RELAY_DPDT_07DSMT","K1, K9, K10, K11, K12","40","","","","","PB2077TR-ND","TE Connectivity","655-3-1462039-7","3-1462039-7","","","","","","","","","",
"3","13","RESISTOR_0603_1.13K","R10, R62, R74","333","","","","","P1.13KHCT-ND","Panasonic Electronic Components","667-ERJ-3EKF1131V","ERJ-3EKF1131V","0.1W","","1.13k","","","1%","","75V","150V",
"3","13","RESISTOR_0603_10.2K","R11, R63, R75","333","","","","","P10.2KDBCT-ND","Panasonic Electronic Components","667-ERA-3AEB1022V","ERA-3AEB1022V","0.1W","","10.2k","","","0.1%","","31.94V","75V",
"5","15","RESISTOR_0603_100K","R92, R93, R95, R97, R99","200","","","","","311-100KHRTR-ND","Yageo","603-RC0603FR-07100KL ","RC0603FR-07100KL","0.1W","","100k","","","1%","","75V","75V",
"22","32","RESISTOR_0603_10K","R7, R33, R42, R60, R61, R65, R98, R100, R103, R104, R107, R108, R111, R112, R115, R116, R119, R120, R123, R124, R127, R128","45","","","","","311-10.0KHRCT-ND","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","","10k","","","1%","","31.62V","75V",
"2","12","RESISTOR_0603_120","R12, R34","500","","","","","P120DBCT-ND","Panasonic Electronic Components","667-ERA-3AEB121V","ERA-3AEB121V","0.1W","","120","","","0.1%","","3.46V","75V",
"12","22","RESISTOR_0603_13K","R80, R82, R84, R86, R88, R90, R105, R109, R113, R117, R121, R125","83","","","","","P13KBECT-ND","Panasonic Electronic Components","667-ERA-3ARW133V","ERA-3ARW133V","0.1W","","13k","","","0.05%","","75V","150V",
"2","12","RESISTOR_0603_180","R23, R31","500","","","","","311-180HRCT-ND","Yageo","603-RC0603FR-07180RL","RC0603FR-07180RL","0.1W","","180","","","1%","","4.24V","75V",
"2","12","RESISTOR_0603_1K","R39, R58","500","","","","","1712-CPF-A-0603B1K0ETR-ND","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","","1k","","","0.1%","","7.9V","50V",
"1","11","RESISTOR_0603_2.55K","R43","1000","","","","","311-2.55KHRCT-ND","Yageo","603-RC0603FR-072K55L","RC0603FR-072K55L","0.1W","","2.55k","","","1%","","15.97V","75V",
"5","15","RESISTOR_0603_240","R13, R37, R40, R54, R55","200","","","","","311-240HRCT-ND","Yageo","603-RC0603FR-07240RL","RC0603FR-07240RL","0.1W","","240","","","1%","","4.90V","75V",
"14","24","RESISTOR_0603_2K","R24, R25, R26, R27, R28, R29, R30, R32, R38, R57, R67, R70, R71, R72","71","","","","","10-ERJ-UP3F2001VTR-ND","Panasonic Electronic Components","667-ERJ-UP3F2001V","ERJ-UP3F2001V","0.25W","","2k","","","1%","","22.36V","150V",
"12","22","RESISTOR_0603_3.3K","R81, R83, R85, R87, R89, R91, R106, R110, R114, R118, R122, R126","83","","","","","P20340TR-ND","Panasonic Electronic Components","667-ERJ-PB3D3301V","ERJ-PB3D3301V","0.2W","","3.3k","","","0.5%","","25.69V","150",
"11","21","RESISTOR_0603_36.5K","R14, R15, R130, R132, R134, R136, R138, R140, R142, R144, R146","91","","","","","311-36.5KHRCT-ND","Yageo","603-RC0603FR-0736K5L","RC0603FR-0736K5L","0.1W","","36.5k","","","1%","","60.42V","75V",
"11","21","RESISTOR_0603_4.64K","R16, R129, R131, R133, R135, R137, R139, R141, R143, R145, R147","91","","","","","311-4.64KHRCT-ND","Yageo","603-RC0603FR-074K64L","RC0603FR-074K64L","0.1W","","4.64k","","","1%","","21.54V","75V",
