"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","BATTERY_TYPE","CAPACITANCE","COLOR","CURRENT","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESET_VOLTAGE","RESISTANCE","TEENSY","TIMEOUT","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"2","4","DNP","JP9, JP11","100","","","","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","","","",
"4","14","JUMPER_0603_","JP2, JP4, JP10, JP12","250","","","","","13-RC0603FR-130RLTR-ND","YAGEO","603-RC0603FR-130RL","RC0603FR-130RL","","","","","","","","","",
"2","4","JUMPER__1X02","JP1, JP3","100","","","","","S1011EC-02-ND","Sullins Connector Solutions","","PRPC002SAAN-RC","","","","","","","","","",
"1","2","LED_0603_GREEN","F","100","","","Green","","754-1790-1-ND","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","","",
"6","16","LED_0603_GREEN","B, BSPD, C, D, E, G","167","","","Green","","754-1790-1-ND","Kingbright","604-APT1608ZGCK","APT1608ZGCK","","","","","","","","","",
"4","14","LED_0603_ORANGE","BMS, IMD, SWOK, WDOG","250","","","Orange","","754-1120-1-ND","Kingbright","604-APT1608SECK","APT1608SECK","","","","","","","","","",
"9","19","LED_0603_RED","B_HI, B_MIS, C_HI, C_MIS, ESP, GPS, LTE, MQTT, RTK","111","","","Red","","754-1786-1-ND","Kingbright","604-APT1608SECKJ3PRV","APT1608SECK/J3-PRV","","","","","","","","","",
"1","11","LED_0603_WHITE","LATCH","1000","","","White","","SM0603UWC-ND","Bivar Inc.","749-SM0603UWC","SM0603UWC","","","","","","","","","",
"2","12","LED_0603_YELLOW","3V3, 5V0","500","","","Yellow","","754-1788-1-ND","Kingbright","604-APT1608SYCK/J3-PRV","APT1608SYCK/J3-PRV","","","","","","","","","",
"1","3","LOGICGATE_AND_DCK3","U15","200","","","","","296-SN74LVC1G08DCK3TR-ND","  Texas Instruments","595-SN74LVC1G08DCK3","SN74LVC1G08DCK3","","","","","","","","","",
"1","3","LOGICGATE_NOR","U13","200","","","","","296-11598-1-ND","Texas Instruments","595-SN74LVC1G02DCKR","SN74LVC1G02DCKR","","","","","","","","","",
"5","7","LOGICGATE_OR","U8, U9, U10, U11, U12","40","","","","","296-22348-2-ND","Texas Instruments","595-SN74LVC32IDCKREP","SN74LVC1G32IDCKREP","","","","","","","","","",
"2","4","LTC6820","U2, U3","100","","","","","","Analog Devices","","LTC6820IMS#PBF","","","","","","","","","",
"1","3","MAX3074EESA+","U16","200","","","","","MAX3074EESA+-ND ","Maxim Integrated","700-MAX3074EESA","MAX3074EESA+","","","","","","","","","",
"2","4","MAX7400","U17, U18","100","","","","","MAX7400CSA+-ND","Maxim Integrated","700-MAX7400CSA","MAX7400CSA+","","","","","","","","","",
"1","3","MCP3208","U6","200","","","","","MCP3208T-BI/SLCT-ND","Microchip Technology","579-MCP3208T-BI/SL","MCP3208T-BI/SL","","","","","","","","","",
"1","3","NRF9160LTE","A4","200","","","","","1568-WRL-17354-ND","SparkFun Electronics","474-WRL-17354","WRL-17354","","","","","","","","","",
"1","3","OPAMP_1_CHANNEL_OPA991","U7","200","","","","","296-OPA991IDCKRCT-ND","Texas Instruments","595-OPA991IDCKR","OPA991IDCKR","","","","","","","","","",
"10","12","OPAMP_2_CHANNEL_OPA_2991","U19, U20, U21, U22, U23, U24, U25, U26, U27, U32","20","","","","","296-OPA2991IDDFRCT-ND","Texas Instruments","595-OPA2991IDDFR","OPA2991IDDFR","","","","","","","","","",
"5","7","RELAY_DPDT_07DSMT","K1, K2, K3, K4, K5","40","","","","","PB2077CT-ND","TE Connectivity","655-3-1462039-7","3-1462039-7","","","","","","","","","",
"4","14","RESISTOR_0603_1.13K","R63, R64, R151, R153","250","","","","","P1.13KHCT-ND","Panasonic Electronic Components","667-ERJ-3EKF1131V","ERJ-3EKF1131V","0.1W","","1.13k","","","1%","","75V","150V",
"1","11","RESISTOR_0603_1.24K","R65","1000","","","","","311-1.24KHRCT-ND","Yageo","603-RC0603FR-071K24L","RC0603FR-071K24L","0.1W","","1.24k","","","1%","","11.14V","75V",
"2","12","RESISTOR_0603_1.33K","R150, R152","500","","","","","P1.33KDBCT-ND","Panasonic Electronic Components","667-ERA-3AEB1331V","ERA-3AEB1331V","0.1W","","1.33k","","","0.1%","","11.53V","75V",
"3","13","RESISTOR_0603_10.2K","R33, R34, R62","333","","","","","P10.2KDBCT-ND","Panasonic Electronic Components","667-ERA-3AEB1022V","ERA-3AEB1022V","0.1W","","10.2k","","","0.1%","","31.94V","75V",
"18","28","RESISTOR_0603_10K","R1, R3, R54, R67, R69, R73, R74, R88, R95, R102, R109, R116, R122, R133, R134, R143, R147, R149","56","","","","","P10KBDCT-ND","Panasonic Electronic Components","667-ERA-3ARB103V","ERA-3ARB103V","0.1W","","10k","","","0.1%","","31.62V","75V",
"4","14","RESISTOR_0603_120","R23, R30, R55, R56","250","","","","","P120DBCT-ND","Panasonic Electronic Components","667-ERA-3AEB121V","ERA-3AEB121V","0.1W","","120","","","0.1%","","3.46V","75V",
"12","22","RESISTOR_0603_12K","R82, R83, R84, R90, R91, R97, R98, R104, R105, R111, R112, R118","83","","","","","311-12.0KHRCT-ND","Yageo","603-RC0603FR-0712KL","RC0603FR-0712KL","0.1W","","12k","","","1%","","34.64V","75V",
"1","11","RESISTOR_0603_14K","R53","1000","","","","","RT0603BRB0714KL-ND","YAGEO","603-RT0603BRB0714KL","RT0603BRB0714KL","0.1W","","14k","","","0.1%","","37.4V","75V",
"6","16","RESISTOR_0603_15K","R89, R96, R103, R110, R117, R123","167","","","","","P15KBDCT-ND","Panasonic Electronic Components","667-ERA-3ARB153V","ERA-3ARB153V","0.1W","","15k","","","0.1%","","38.73V","75V",
"2","12","RESISTOR_0603_18.7K","R71, R72","500","","","","","311-18.7KHRCT-ND","Yageo","603-RC0603FR-0718K7L","RC0603FR-0718K7L","0.1W","","18.7k","","","1%","","43.24V","75V",
"1","11","RESISTOR_0603_180","R28","1000","","","","","311-180HRCT-ND","Yageo","603-RC0603FR-07180RL","RC0603FR-07180RL","0.1W","","180","","","1%","","4.24V","75V",
"2","12","RESISTOR_0603_1K","R46, R50","500","","","","","1712-CPF-A-0603B1K0ETR-ND","TE Connectivity Passive Product","279-CPF-A-0603B1K0E"," CPF-A-0603B1K0E","0.0625W","","1k","","","0.1%","","7.9V","50V",
"1","11","RESISTOR_0603_2.18K","R68","1000","","","","","13-RT0805BRD072K18LTR-ND","YAGEO","603-RT0805BRD072K18L","RT0805BRD072K18L","0.125W","","2.18k","","","0.1%","","16.51V","150V",
"1","11","RESISTOR_0603_2.55K","R66","1000","","","","","311-2.55KHRCT-ND","Yageo","603-RC0603FR-072K55L","RC0603FR-072K55L","0.1W","","2.55k","","","1%","","15.97V","75V",
"5","15","RESISTOR_0603_240","R29, R41, R44, R48, R49","200","","","","","311-240HRCT-ND","Yageo","603-RC0603FR-07240RL","RC0603FR-07240RL","0.1W","","240","","","1%","","4.90V","75V",
"17","27","RESISTOR_0603_2K","R5, R8, R11, R14, R17, R20, R24, R25, R26, R27, R31, R32, R57, R58, R59, R60, R61","59","","","","","10-ERJ-UP3F2001VTR-ND","Panasonic Electronic Components","667-ERJ-UP3F2001V","ERJ-UP3F2001V","0.25W","","2k","","","1%","","22.36V","150V",
"2","12","RESISTOR_0603_3.3K","R2, R4","500","","","","","P20340TR-ND","Panasonic Electronic Components","667-ERJ-PB3D3301V","ERJ-PB3D3301V","0.3W","","3.3k","","","0.5%","","25.69V","150",
"6","16","RESISTOR_0603_30K","R87, R94, R101, R108, R115, R121","167","","","","","P30KBDCT-ND","Panasonic Electronic Components","667-ERA-3ARB303V","ERA-3ARB303V","0.1W","","30k","","","0.1%","","54.77V","75V",
"9","19","RESISTOR_0603_36.5K","R7, R10, R13, R16, R19, R22, R138, R139, R140","111","","","","","311-36.5KHRCT-ND","Yageo","603-RC0603FR-0736K5L","RC0603FR-0736K5L","0.1W","","36.5k","","","1%","","60.42V","75V",
"9","19","RESISTOR_0603_4.64K","R6, R9, R12, R15, R18, R21, R135, R136, R137","111","","","","","311-4.64KHRCT-ND","Yageo","603-RC0603FR-074K64L","RC0603FR-074K64L","0.1W","","4.64k","","","1%","","21.54V","75V",
"2","12","RESISTOR_0603_43K","R45, R51","500","","","","","311-43.0KHRCT-ND","Yageo","603-RC0603FR-0743KL","RC0603FR-0743KL","0.1W","","43k","","","1%","","65.57V","75V",
"4","14","RESISTOR_0603_5.1K","R144, R145, R146, R148","250","","","","","311-5.10KHRTR-ND","Yageo","603-RC0603FR-075K1L ","RC0603FR-075K1L","0.1W","","5.1k","","","1%","","22.58V","75V",
"4","14","RESISTOR_0603_60.4","R47, R52, R141, R142","250","","","","","311-60.4HRCT-ND","Yageo","603-RC0603FR-0760R4L","RC0603FR-0760R4L","0.1W","","60.4","","","1%","","2.48V","75V",
"12","22","RESISTOR_0603_7.5K","R85, R86, R92, R93, R99, R100, R106, R107, R113, R114, R119, R120","83","","","","","P20072CT-ND","Panasonic Electronic Components","667-ERJ-PB3B7501V","ERJ-PB3B7501V","0.2W","","7.5k","","","0.1%","","38.73V","150V",
"2","12","RESISTOR_0603_8.35K","R131, R132","500","","","","","764-1461-2-ND","Vishay Dale Thin Film","71-PTN0603E8351BST1","PTN0603E8351BST1","0.15W","","8.35k","","","0.1%","","28.90V","75V",
"1","11","RESISTOR_0603_DNP","R70","1000","","","","","","","","","","","DNP","","","","","","",
"2","4","RESISTOR_TRIMPOT_10K_3362P","VR1, VR2","100","","","","","3362P-103LF-ND","Bourns Inc.","652-3362P-1-103LF","3362P-1-103LF","0.5W","","10k","","","10%","70.711V","","",
"1","11","SCHOTTKY_1206_40V","D2","1000","","","","","478-7806-1-ND","KYOCERA AVX","581-SD1206S040S2R0","SD1206S040S2R0","","","","","","","40 V","","",
"10","12","SCHOTTKY_SOD323_30V","D3, D9, D10, D11, D12, D13, D14, D15, D16, D17","20","","","","0.8A","CUS08F30H3FTR-ND","Toshiba Semiconductor and Storage","757-CUS08F30H3F","CUS08F30","","","","","","","30V","","",
"4","6","TCAN1051HQV-Q1","U4, U14, U29, U30","50","","","","","296-49935-1-ND","Texas Instruments","595-TCAN1051HGVDQ1","TCAN1051HGVDRQ1","","","","","","","","","",
"1","3","TEENSY_4.1","A3","200","","","","","","","","","","","","4.1","","","","","",
"1","3","TEENSY_4.1_SMT","A2","200","","","","","","","","","","","","4.1","","","","","",
"13","15","TEST_POINT","CUR, TP1, TP2, TP3, TP4, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13","15","","","","","36-5015CT-ND","Keystone Electronics","534-5015","5015","","","","","","","","","",
"1","3","TRANSFORMER_HM2112ZNLT","T1","200","","","","","1840-1036-1-ND","Pulse Electronics","673-HM2112ZNLT","HM2112ZNLT","","","","","","","","","",
"2","4","TRANSISTOR_N_MOS__DMG3406L-7","Q1, Q4","100","","","","","DMG3406L-7DITR-ND","Diodes Incorporated","621-DMG3406L-7","DMG3406L-7","","","","","","","","","",
"2","7","TRANSISTOR_P_MOS_SOT-23_DMP3056L-7","Q2, Q3","250","","","","","DMP3056L-7DITR-ND","Diodes Incorporated","621-DMP3056L-7","DMP3056L-7","","","","","","","","","",
"2","4","TVS_BIDIRECTIONAL_DUAL","D23, D24","100","","","","","296-25281-1-ND","Texas Instruments","595-TPD2E007DCKR","TPD2E007DCKR","","","","","","","","","",
"5","7","TVS_DO-214AA_30V","D4, D5, D6, D7, D8","40","","","","","118-1.5SMBJ30ATR-ND","Bourns Inc.","652-1.5SMBJ30A"," 1.5SMBJ30A","","","","","","","30V","","",
"4","6","TVS__15V","D19, D20, D21, D22","50","","","","","GSOT15-E3-08CT-ND","Vishay General Semiconductor - Diodes Division","78-GSOT15-E3-08","GSOT15-E3-08","","","","","","","15V","","",
"1","3","TVS__5V","D18","200","","","","","GSOT03-E3-08CT-ND","Vishay General Semiconductor - Diodes Division","78-GSOT03-E3-08","GSOT03-E3-08","","","","","","","3.3V","","",
"1","3","VOLTAGE_REGULATOR_MODULE_OKI-78SR_12V","A1","200","","","","","811-3293-ND","Murata Power Solutions Inc.","580-OKI78SR12/1W36C","OKI-78SR-12/1.0-W36-C","","","","","","","","","",
"1","3","VOLTAGE_REGULATOR_SOT-223_3.3V","U1","200","","","","","LMS8117AMP-3.3/NOPBCT-ND","Texas Instruments","926-LMS8117AMP33NOPB","LMS8117AMP-3.3/NOPB","","","","","","","","","",
